자격명,종목코드,유형,시행기관,당해직의 직무 내용,응시 자격,합격 기준,응시료,자격증유효기간,정기유무,난이도,좋아요
방사선비파괴검사산업기사,2611,1,96,,,,,,,,
초음파비파괴검사산업기사,2612,1,96,,,,,,,,
자기비파괴검사산업기사,2613,1,96,,,,,,,,
침투비파괴검사산업기사,2614,1,96,,,,,,,,
화훼장식산업기사,2625,1,96,,,,,,,,
방수산업기사,2630,1,96,,,,,,,,
어로산업기사,2631,1,96,,,,,,,,
교통산업기사,2751,1,96,,,,,,,,
귀금속가공산업기사,2760,1,96,,,,,,,,
전자부품장착산업기사,2835,1,96,,,,,,,,
보석디자인산업기사,2880,1,96,,,,,,,,
소방설비산업기사(기계분야),2900,1,96,,,,,,,,
소방설비산업기사(전기분야),2910,1,96,,,,,,,,
자연생태복원산업기사,2938,1,96,,,,,,,,
폐기물처리산업기사,2950,1,96,,,,,,,,
에너지관리산업기사,2960,1,96,,,,,,,,
한식조리산업기사,2971,1,96,,,,,,,,
양식조리산업기사,2972,1,96,,,,,,,,
일식조리산업기사,2973,1,96,,,,,,,,
중식조리산업기사,2974,1,96,,,,,,,,
복어조리산업기사,2975,1,96,,,,,,,,
보석감정산업기사,2980,1,96,,,,,,,,
컬러리스트산업기사,2982,1,96,,,,,,,,
기계가공기능장,3021,1,96,,,,,,,,
금형제작기능장,3061,1,96,,,,,,,,
배관기능장,3081,1,96,,,,,,,,
판금제관기능장,3095,1,96,,,,,,,,
용접기능장,3100,1,96,,,,,,,,
자동차정비기능장,3110,1,96,,,,,,,,
건설기계정비기능장,3120,1,96,,,,,,,,
철도차량정비기능장,3150,1,96,,,,,,,,
에너지관리기능장,3170,1,96,,,,,,,,
주조기능장,3200,1,96,,,,,,,,
표면처리기능장,3210,1,96,,,,,,,,
금속재료기능장,3221,1,96,,,,,,,,
제선기능장,3230,1,96,,,,,,,,
제강기능장,3240,1,96,,,,,,,,
압연기능장,3270,1,96,,,,,,,,
위험물기능장,3360,1,96,,,,,,,,
가스기능장,3375,1,96,,,,,,,,
전기기능장,3380,1,96,,,,,,,,
전자기기기능장,3410,1,96,,,,,,,,
건축목재시공기능장,3611,1,96,,,,,,,,
건축일반시공기능장,3621,1,96,,,,,,,,
귀금속가공기능장,3770,1,96,,,,,,,,
잠수기능장,3911,1,96,,,,,,,,
조리기능장,3922,1,96,,,,,,,,
제과기능장,3923,1,96,,,,,,,,
미용장,3924,1,96,,,,,,,,
이용장,3925,1,96,,,,,,,,
컴퓨터응용선반기능사,6012,1,96,,,,,,,,
컴퓨터응용밀링기능사,6032,1,96,,,,,,,,
반도체장비유지보수기능사,6033,1,96,,,,,,,,
연구실안전관리사,6040,1,98,,,,,,,,
기계가공조립기능사,6042,1,96,,,,,,,,
궤도장비정비기능사,6051,1,96,,,,,,,,
금형기능사,6105,1,96,,,,,,,,
정밀측정기능사,6120,1,96,,,,,,,,
전산응용기계제도기능사,6151,1,96,,,,,,,,
판금제관기능사,6175,1,96,,,,,,,,
의료전자기능사,6176,1,96,,,,,,,,
배관기능사,6213,1,96,,,,,,,,
통신사,6222,1,114,"◎ 선박통신에 대해 책임을 진다. ◎ 자동화 선박에서 항해, 기관 및 전자장비 전문분야로 구분하여 운항 관련 업무를 수행 ◎ 선박에서 무선전신 또는 무선전화를 이용해 선박의 항해안전과 수송에 필요한 통신을 수발함 ◎ 공중통신의 취급, 무선기기의 취급·보수·유지와 무선부의 장비·용품정비 및 관리 ◎ 항해 중 무선부에 근무하며 통상의 업무연락 및 다른 선박이나 육지와 무선통신 담당 ◎ 육상해안국에서 선박과 제반 통신연락업무, 조난주파수에 의한 청취업무 수행","◎국토해양부장관은 해기사 시험에서 부정한 행위를 한 응시자에 대하여는 해당 시험을 정지시키거나 합격결정을 취소하고, 그 정황에 따라 처분을 한 날부터 2년 이내의 기간을 정하여 이 법에 따른 시험의 응시자격을 정지할 수 있다. ◎다음 결격사유에 해당하지 않은 자 1.18세 미만인 사람 2.면허가 취소된 날부터 2년(「수산업법」 제71조제1항에 따라 면허가 취소된 경우에는 1년)이 지나지 아니한 사람 ◎ 승무경력에 관한 사항은 <별표> 참고 ◎ 과목별 시험 응시대상 면허등급은 <별표> 참고",면접시험의 합격기준은 위원마다 100점을 만점으로 하여 평균 60점 이상,,,,,
요양보호사,6223,1,94,"◎  노인 등의 신체활동 또는 가사활동 지원 등의 업무를 전문적으로 수행 ◎  의사, 간호사 및 가족들로부터 대상자에 대한 정보를 수집하여 요양보호서비스 계획을 세우고 대상자의 청결유지, 식사와 복약보조, 배설, 운동, 정서적 지원, 환경 관리 및 일상생활 지원 업무를 수행","◎ 다음 결격사유에 해당하지 않은 자 1. 「정신보건법」 제3조제1호에 따른 정신질환자. 다만, 전문의가 요양보호사로서 적합하다고 인정하는 사람은 그러하지 아니하다. 2. 마약·대마 또는 향정신성의약품 중독자 3. 금치산자·한정치산자 4. 금고 이상의 형을 선고받고 그 형의 집행이 종료되지 아니하였거나 그 집행을 받지 아니하기로 확정되지 아니한 사람 5. 법원의 판결에 따라 자격이 정지 또는 상실된 사람 6. 요양보호사의 자격이 취소된 날부터 1년이 경과되지 아니한 사람",필기시험과 실기시험에서 각각 만점의 60% 이상,,,,,
공유압기능사,6251,1,96,,,,,,,,
자동차정비기능사,6281,1,96,,,,,,,,
자동차차체수리기능사,6285,1,96,,,,,,,,
항공기체정비기능사,6291,1,96,,,,,,,,
항공기관정비기능사,6292,1,96,,,,,,,,
항공장비정비기능사,6293,1,96,,,,,,,,
항공전자정비기능사,6294,1,96,,,,,,,,
건설기계정비기능사,6298,1,96,,,,,,,,
농기계정비기능사,6300,1,96,,,,,,,,
농기계운전기능사,6301,1,96,,,,,,,,
공조냉동기계기능사,6320,1,96,,,,,,,,
가스기능사,6335,1,96,,,,,,,,
항로표지기능사,6351,1,96,,,,,,,,
철도차량정비기능사,6352,1,96,,,,,,,,
축로기능사,6381,1,96,,,,,,,,
생산자동화기능사,6415,1,96,,,,,,,,
열처리기능사,6420,1,96,,,,,,,,
주조기능사,6461,1,96,,,,,,,,
표면처리기능사,6480,1,96,,,,,,,,
금속재료시험기능사,6490,1,96,,,,,,,,
제선기능사,6500,1,96,,,,,,,,
제강기능사,6515,1,96,,,,,,,,
원형기능사,6530,1,96,,,,,,,,
압연기능사,6543,1,96,,,,,,,,
화학분석기능사,6560,1,96,,,,,,,,
유기농업기능사,6592,1,96,,,,,,,,
위험물기능사,6697,1,96,,,,,,,,
철도전기신호기능사,6772,1,96,,,,,,,,
전자캐드기능사,6785,1,96,,,,,,,,
전자기기기능사,6790,1,96,,,,,,,,
전자출판기능사,6791,1,96,,,,,,,,
석공예기능사,6792,1,96,,,,,,,,
제품응용모델링기능사,6793,1,96,,,,,,,,
전자계산기기능사,6801,1,96,,,,,,,,
전자부품장착기능사,6835,1,96,,,,,,,,
자동차보수도장기능사,6836,1,96,,,,,,,,
설비보전기능사,6837,1,96,,,,,,,,
정보기기운용기능사,6892,1,96,,,,,,,,
전산응용조선제도기능사,6910,1,96,,,,,,,,
선체건조기능사,6920,1,96,,,,,,,,
정보처리기능사,6921,1,96,,,,,,,,
동력기계정비기능사,6960,1,96,,,,,,,,
측량기능사,6980,1,96,,,,,,,,
석공기능사,6990,1,96,,,,,,,,
철도토목기능사,7010,1,96,,,,,,,,
콘크리트기능사,7020,1,96,,,,,,,,
방수기능사,7030,1,96,,,,,,,,
전산응용건축제도기능사,7061,1,96,,,,,,,,
조적기능사,7070,1,96,,,,,,,,
전산응용토목제도기능사,7072,1,96,,,,,,,,
철근기능사,7080,1,96,,,,,,,,
금속재창호기능사,7102,1,96,,,,,,,,
플라스틱창호기능사,7103,1,96,,,,,,,,
미장기능사,7110,1,96,,,,,,,,
신재생에너지발전설비기능사(태양광),7114,1,96,,,,,,,,
비계기능사,7120,1,96,,,,,,,,
기계정비기능사,7121,1,96,,,,,,,,
건축목공기능사,7130,1,96,,,,,,,,
건설재료시험기능사,7132,1,96,,,,,,,,
가구제작기능사,7140,1,96,,,,,,,,
건축도장기능사,7150,1,96,,,,,,,,
유리시공기능사,7151,1,96,,,,,,,,
실내건축기능사,7152,1,96,,,,,,,,
온수온돌기능사,7161,1,96,,,,,,,,
거푸집기능사,7170,1,96,,,,,,,,
도배기능사,7180,1,96,,,,,,,,
타일기능사,7210,1,96,,,,,,,,
염색기능사(침염),7301,1,96,,,,,,,,
염색기능사(날염),7302,1,96,,,,,,,,
시스템에어컨설계시공관리사 (System Aircondition Design and Install Manager),7330,2,87,시스템에어컨을 적용하여 건물 용도에 맞는 쾌적한 냉난방 환경을 제공하고 전자 제어기를 융합한 에너지 절약 설계 및 사용자 편의성을 고려한 시스템에어컨의 설계 시공 및 유지관리를 할 수 있는 능력을 검정,,,,,,,
금속도장기능사,7450,1,96,,,,,,,,
귀금속가공기능사,7460,1,96,,,,,,,,
방사선비파괴검사기능사,7471,1,96,,,,,,,,
초음파비파괴검사기능사,7472,1,96,,,,,,,,
자기비파괴검사기능사,7473,1,96,,,,,,,,
침투비파괴검사기능사,7474,1,96,,,,,,,,
목공예기능사,7480,1,96,,,,,,,,
축산기능사,7481,1,96,,,,,,,,
식육처리기능사,7482,1,96,,,,,,,,
천공기운전기능사,7483,1,96,,,,,,,,
인쇄기능사,7524,1,96,,,,,,,,
식품가공기능사,7591,1,96,,,,,,,,
잠수기능사,7612,1,96,,,,,,,,
종자기능사,7620,1,96,,,,,,,,
화훼장식기능사,7625,1,96,,,,,,,,
임업종묘기능사,7630,1,96,,,,,,,,
버섯종균기능사,7631,1,96,,,,,,,,
산림기능사,7632,1,96,,,,,,,,
임산가공기능사,7644,1,96,,,,,,,,
지적기능사,7650,1,96,,,,,,,,
도화기능사,7660,1,96,,,,,,,,
항공사진기능사,7670,1,96,,,,,,,,
광학기능사,7671,1,96,,,,,,,,
지도제작기능사,7680,1,96,,,,,,,,
수산양식기능사,7700,1,96,,,,,,,,
한복기능사,7723,1,96,,,,,,,,
에너지관리기능사,7761,1,96,,,,,,,,
전기기능사,7780,1,96,,,,,,,,
3D프린터운용기능사,7785,1,96,,,,,,,,
사진기능사,7795,1,96,,,,,,,,
컴퓨터그래픽스운용기능사,7796,1,96,,,,,,,,
웹디자인기능사,7798,1,96,,,,,,,,
타워크레인운전기능사,7834,1,96,,,,,,,,
컨테이너크레인운전기능사,7835,1,96,,,,,,,,
기중기운전기능사,7861,1,96,,,,,,,,
